COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSEU,QP,Book-EDS,USD,20080519,,,,,,,,,695.3428732,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080520,,,,,,,,,-1139.054907,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080521,,,,,,,,,-866.006875,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080522,,,,,,,,,435.3236538,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080523,,,,,,,,,-542.9494223,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080527,,,,,,,,,401.4121899,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080528,,,,,,,,,714.0503662,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080529,,,,,,,,,728.9599332,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080530,,,,,,,,,-148.041354,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080602,,,,,,,,,106.8509529,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080603,,,,,,,,,675.712281,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080604,,,,,,,,,48.90137094,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080605,,,,,,,,,-822.6414247,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080606,,,,,,,,,-1452.542948,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080609,,,,,,,,,203.799884,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080610,,,,,,,,,1713.398315,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EDS,USD,20080611,,,,,,,,,-290.8213076,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DSN; Book-EDS; FX Rate VaR; [MUSEU French books not set up in Murex]
